,worker_id,num_of_hist
0,A3GUJ6JD25FX7O,7
1,A33B85TN97HQ33,17
2,A37CE37LHUN8M6,11
3,A2UF2FRGVW4T89,10
4,AOBTFLJU2BEPR,9
5,A2OW2CIT4H7364,13
6,A33B85TN97HQ33,17
7,ARYYSG1HT2UDX,14
8,A2UF2FRGVW4T89,10
9,ARYYSG1HT2UDX,14
10,AP4903X7HCNBA,8
11,ARYYSG1HT2UDX,14
12,AP4903X7HCNBA,8
13,A33B85TN97HQ33,17
14,AP4903X7HCNBA,8
15,A2UF2FRGVW4T89,10
16,A20I3A6VWC2T5C,28
17,AOBTFLJU2BEPR,9
18,ARYYSG1HT2UDX,14
19,A2UF2FRGVW4T89,10
20,A3RS7UCO7CQ74R,5
21,A20I3A6VWC2T5C,28
22,AP4903X7HCNBA,8
23,A20I3A6VWC2T5C,28
24,A20I3A6VWC2T5C,28
25,A2OW2CIT4H7364,13
26,ARYYSG1HT2UDX,14
27,AOBTFLJU2BEPR,9
28,A33B85TN97HQ33,17
29,A33B85TN97HQ33,17
30,A37CE37LHUN8M6,11
31,A1ZGQC0J00M69W,7
32,A2UF2FRGVW4T89,10
33,A1ZGQC0J00M69W,7
34,A37CE37LHUN8M6,11
35,A3RS7UCO7CQ74R,5
36,AOBTFLJU2BEPR,9
37,A37CE37LHUN8M6,11
38,A37CE37LHUN8M6,11
39,AOBTFLJU2BEPR,9
40,A1ZGQC0J00M69W,7
41,AYJGQBBK6KXZ7,5
42,A20I3A6VWC2T5C,28
43,A2UF2FRGVW4T89,10
44,AYJGQBBK6KXZ7,5
45,A33B85TN97HQ33,17
46,A20I3A6VWC2T5C,28
47,A20I3A6VWC2T5C,28
48,A37CE37LHUN8M6,11
49,A33B85TN97HQ33,17
50,A20I3A6VWC2T5C,28
51,A2OW2CIT4H7364,13
52,A37CE37LHUN8M6,11
53,AYJGQBBK6KXZ7,5
54,A1ZGQC0J00M69W,7
55,A2UF2FRGVW4T89,10
56,A3GUJ6JD25FX7O,7
57,A37CE37LHUN8M6,11
58,A2OW2CIT4H7364,13
59,ARYYSG1HT2UDX,14
60,A20I3A6VWC2T5C,28
61,A20I3A6VWC2T5C,28
62,ARYYSG1HT2UDX,14
63,AOBTFLJU2BEPR,9
64,A1ZGQC0J00M69W,7
65,AOBTFLJU2BEPR,9
66,A1ZGQC0J00M69W,7
67,A20I3A6VWC2T5C,28
68,A33B85TN97HQ33,17
69,A37CE37LHUN8M6,11
70,A1ZGQC0J00M69W,7
71,A3RS7UCO7CQ74R,5
72,A33B85TN97HQ33,17
73,ARYYSG1HT2UDX,14
74,AOBTFLJU2BEPR,9
75,ARYYSG1HT2UDX,14
76,A2OW2CIT4H7364,13
77,A20I3A6VWC2T5C,28
78,A37CE37LHUN8M6,11
79,ARYYSG1HT2UDX,14
80,A20I3A6VWC2T5C,28
81,AP4903X7HCNBA,8
82,AYJGQBBK6KXZ7,5
83,A20I3A6VWC2T5C,28
84,A33B85TN97HQ33,17
85,A20I3A6VWC2T5C,28
86,ARYYSG1HT2UDX,14
87,A2OW2CIT4H7364,13
88,A20I3A6VWC2T5C,28
89,A2OW2CIT4H7364,13
90,A33B85TN97HQ33,17
91,ARYYSG1HT2UDX,14
92,A2OW2CIT4H7364,13
93,ARYYSG1HT2UDX,14
94,A20I3A6VWC2T5C,28
95,A3RS7UCO7CQ74R,5
96,A20I3A6VWC2T5C,28
97,A37CE37LHUN8M6,11
98,AP4903X7HCNBA,8
99,A2OW2CIT4H7364,13
100,A20I3A6VWC2T5C,28
101,A2OW2CIT4H7364,13
102,A3GUJ6JD25FX7O,7
103,A3GUJ6JD25FX7O,7
104,A33B85TN97HQ33,17
105,A20I3A6VWC2T5C,28
106,A2OW2CIT4H7364,13
107,AYJGQBBK6KXZ7,5
108,A20I3A6VWC2T5C,28
109,A2OW2CIT4H7364,13
110,A33B85TN97HQ33,17
111,A20I3A6VWC2T5C,28
112,A33B85TN97HQ33,17
113,AOBTFLJU2BEPR,9
114,A20I3A6VWC2T5C,28
115,A2UF2FRGVW4T89,10
116,AP4903X7HCNBA,8
117,A33B85TN97HQ33,17
118,A2UF2FRGVW4T89,10
119,A20I3A6VWC2T5C,28
120,A20I3A6VWC2T5C,28
121,A3RS7UCO7CQ74R,5
122,A3GUJ6JD25FX7O,7
123,A2UF2FRGVW4T89,10
124,A3GUJ6JD25FX7O,7
125,A33B85TN97HQ33,17
126,A20I3A6VWC2T5C,28
127,A2OW2CIT4H7364,13
128,A33B85TN97HQ33,17
129,ARYYSG1HT2UDX,14
130,AP4903X7HCNBA,8
131,A3GUJ6JD25FX7O,7
132,A20I3A6VWC2T5C,28
133,A20I3A6VWC2T5C,28
